,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
8259,-19.821,144.455,332.0,1.0,1.0,2020-01-03,40,Terra,MODIS,81,6.0NRT,308.2,13.4,D
3043,-32.292,123.422,331.0,1.0,1.0,2020-01-01,1435,Terra,MODIS,100,6.0NRT,298.5,26.8,N
18187,-35.84,147.614,347.7,1.2,1.1,2020-01-04,1505,Aqua,MODIS,100,6.0NRT,274.6,74.9,N
5823,-32.782,124.179,340.6,1.3,1.1,2020-01-02,555,Aqua,MODIS,82,6.0NRT,313.1,31.9,D
16289,-34.735,150.227,337.2,2.8,1.6,2020-01-04,1325,Terra,MODIS,80,6.0NRT,290.2,160.0,N
33793,-35.853,148.901,306.6,1.8,1.3,2020-01-29,1320,Terra,MODIS,69,6.0NRT,289.4,19.1,N
33425,-36.092,150.113,324.3,1.0,1.0,2020-01-29,355,Aqua,MODIS,53,6.0NRT,298.3,15.4,D
9807,-34.305,150.261,308.6,1.0,1.0,2020-01-03,1245,Terra,MODIS,75,6.0NRT,293.6,7.8,N
25251,-37.371,149.442,321.5,1.1,1.0,2020-01-11,410,Aqua,MODIS,56,6.0NRT,296.8,13.8,D
25813,-35.48,148.438,335.5,1.0,1.0,2020-01-11,410,Aqua,MODIS,55,6.0NRT,296.5,31.2,D
16800,-37.124,149.801,345.1,2.3,1.5,2020-01-04,1325,Terra,MODIS,100,6.0NRT,276.2,0.0,N
8711,-22.169,146.911,353.1,3.1,1.7,2020-01-03,325,Aqua,MODIS,95,6.0NRT,310.1,255.0,D
30923,-17.937,137.842,331.9,4.3,1.9,2020-01-17,515,Aqua,MODIS,57,6.0NRT,308.2,92.3,D
2734,-35.633,148.222,333.8,1.0,1.0,2020-01-01,1255,Terra,MODIS,100,6.0NRT,294.7,33.0,N
10260,-37.602,148.989,325.8,1.2,1.1,2020-01-03,1245,Terra,MODIS,100,6.0NRT,296.1,29.2,N
19192,-37.309,149.198,322.5,1.0,1.0,2020-01-04,1505,Aqua,MODIS,100,6.0NRT,288.8,21.2,N
22382,-35.842,136.574,309.3,1.2,1.1,2020-01-07,1400,Terra,MODIS,77,6.0NRT,288.2,12.9,N
17580,-32.222,151.367,325.4,1.0,1.0,2020-01-04,1505,Aqua,MODIS,100,6.0NRT,302.2,20.2,N
14844,-35.706,149.857,353.1,1.0,1.0,2020-01-04,400,Aqua,MODIS,95,6.0NRT,323.0,43.6,D
1050,-29.065,128.281,353.6,1.0,1.0,2020-01-01,510,Aqua,MODIS,95,6.0NRT,323.7,43.5,D
5215,-35.939,147.905,359.1,1.1,1.0,2020-01-02,415,Aqua,MODIS,99,6.0NRT,308.2,87.5,D
12638,-37.155,148.397,479.1,1.0,1.0,2020-01-04,400,Aqua,MODIS,100,6.0NRT,341.9,1166.0,D
17006,-36.446,147.896,320.2,1.8,1.3,2020-01-04,1325,Terra,MODIS,100,6.0NRT,290.9,33.5,N
19084,-37.326,149.542,352.6,1.0,1.0,2020-01-04,1505,Aqua,MODIS,100,6.0NRT,295.2,67.7,N
4182,-31.121,132.719,397.2,1.5,1.2,2020-01-02,135,Terra,MODIS,100,6.0NRT,325.3,387.4,D
963,-31.256,121.101,373.4,2.9,1.6,2020-01-01,510,Aqua,MODIS,100,6.0NRT,313.1,506.8,D
972,-31.241,121.092,406.2,2.9,1.6,2020-01-01,510,Aqua,MODIS,100,6.0NRT,330.7,1256.0,D
13148,-37.095,147.048,385.6,1.1,1.0,2020-01-04,400,Aqua,MODIS,100,6.0NRT,302.1,178.9,D
24994,-18.222,144.116,314.8,1.1,1.0,2020-01-10,1255,Terra,MODIS,60,6.0NRT,297.4,9.8,N
20386,-32.679,150.048,323.6,1.3,1.1,2020-01-05,1235,Terra,MODIS,81,6.0NRT,288.1,28.4,N
16865,-37.131,149.528,345.7,2.2,1.4,2020-01-04,1325,Terra,MODIS,90,6.0NRT,270.7,174.7,N
24598,-19.823,144.32,353.7,1.0,1.0,2020-01-10,45,Terra,MODIS,96,6.0NRT,316.8,56.7,D
475,-32.682,150.87,343.8,1.4,1.2,2020-01-01,330,Aqua,MODIS,88,6.0NRT,307.0,59.4,D
14181,-36.054,149.752,504.1,1.0,1.0,2020-01-04,400,Aqua,MODIS,100,6.0NRT,400.1,1734.6,D
9254,-35.934,136.654,362.0,1.1,1.0,2020-01-03,500,Aqua,MODIS,92,6.0NRT,305.4,0.0,D
27330,-35.939,137.186,338.7,1.7,1.3,2020-01-13,120,Terra,MODIS,82,6.0NRT,310.7,62.5,D
26208,-35.887,148.864,319.0,1.0,1.0,2020-01-11,1510,Aqua,MODIS,98,6.0NRT,281.6,19.4,N
19052,-37.317,149.544,376.8,1.0,1.0,2020-01-04,1505,Aqua,MODIS,100,6.0NRT,297.0,142.4,N
30012,-26.6,150.099,304.5,1.3,1.1,2020-01-14,1230,Terra,MODIS,60,6.0NRT,287.4,6.7,N
10237,-37.61,149.099,320.2,1.2,1.1,2020-01-03,1245,Terra,MODIS,100,6.0NRT,290.0,22.8,N
21862,-29.436,152.074,316.5,4.4,1.9,2020-01-07,255,Aqua,MODIS,59,6.0NRT,296.6,66.8,D
29657,-37.419,148.383,318.4,2.3,1.5,2020-01-14,440,Aqua,MODIS,62,6.0NRT,297.5,31.2,D
3009,-32.312,123.47,313.9,1.0,1.0,2020-01-01,1435,Terra,MODIS,88,6.0NRT,296.3,10.1,N
10000,-31.42,152.089,314.3,1.0,1.0,2020-01-03,1245,Terra,MODIS,73,6.0NRT,294.0,11.0,N
13277,-36.982,147.287,352.1,1.0,1.0,2020-01-04,400,Aqua,MODIS,95,6.0NRT,313.1,53.0,D
8065,-28.732,128.845,331.5,1.3,1.1,2020-01-02,1655,Aqua,MODIS,100,6.0NRT,290.3,38.9,N
27045,-37.731,149.257,326.0,4.5,2.0,2020-01-12,1415,Aqua,MODIS,100,6.0NRT,284.3,226.5,N
28363,-18.326,145.406,326.8,1.0,1.0,2020-01-13,400,Aqua,MODIS,68,6.0NRT,298.8,11.4,D
12980,-37.03,148.094,419.6,1.0,1.0,2020-01-04,400,Aqua,MODIS,100,6.0NRT,327.0,381.7,D
29342,-35.9,149.761,324.6,1.4,1.2,2020-01-14,25,Terra,MODIS,64,6.0NRT,295.6,29.2,D
18403,-37.122,149.716,324.6,1.0,1.0,2020-01-04,1505,Aqua,MODIS,75,6.0NRT,282.3,17.7,N
7525,-37.518,149.391,379.1,1.1,1.0,2020-01-02,1520,Aqua,MODIS,100,6.0NRT,305.5,163.2,N
16382,-37.658,149.119,336.5,2.0,1.4,2020-01-04,1325,Terra,MODIS,91,6.0NRT,288.9,88.9,N
25710,-35.875,148.091,387.8,1.0,1.0,2020-01-11,410,Aqua,MODIS,100,6.0NRT,304.8,180.5,D
34249,-37.227,149.074,401.3,2.6,1.5,2020-01-30,440,Aqua,MODIS,100,6.0NRT,306.9,983.0,D
10876,-18.207,142.993,328.9,1.0,1.0,2020-01-03,1555,Aqua,MODIS,100,6.0NRT,296.7,25.6,N
30010,-28.338,148.324,323.4,1.8,1.3,2020-01-14,1230,Terra,MODIS,100,6.0NRT,295.9,48.4,N
2583,-35.938,148.213,323.7,1.0,1.0,2020-01-01,1255,Terra,MODIS,93,6.0NRT,289.3,21.3,N
34033,-35.843,148.882,360.5,1.3,1.1,2020-01-30,25,Terra,MODIS,100,6.0NRT,312.0,113.4,D
